epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,11989.6982421875
,1,,,,14280.14453125
,2,,,,14649.08203125
,3,,,,13478.7353515625
0,11,,,13621.763671875,
0,11,14077.2998046875,,,
,4,,,,11989.80078125
,5,,,,14280.2568359375
,6,,,,14649.19140625
,7,,,,13478.84375
1,23,,,13621.87109375,
1,23,14077.294921875,,,
,8,,,,11989.87890625
,9,,,,14280.3544921875
,10,,,,14649.2900390625
,11,,,,13478.9345703125
2,35,,,13621.962890625,
2,35,14077.2890625,,,
,12,,,,11989.91796875
,13,,,,14280.40625
,14,,,,14649.33984375
,15,,,,13478.9755859375
3,47,,,13622.0087890625,
3,47,14077.2841796875,,,
4,49,,14082.271484375,,
,16,,,,11989.9248046875
,17,,,,14280.4140625
,18,,,,14649.34765625
,19,,,,13478.982421875
4,59,,,13622.0166015625,
4,59,14077.28125,,,
,20,,,,11989.923828125
,21,,,,14280.4150390625
,22,,,,14649.345703125
,23,,,,13478.9814453125
5,71,,,13622.0166015625,
5,71,14077.27734375,,,
,24,,,,11989.9189453125
,25,,,,14280.4091796875
,26,,,,14649.341796875
,27,,,,13478.9755859375
6,83,,,13622.01171875,
6,83,14077.26953125,,,
,28,,,,11989.9130859375
,29,,,,14280.40234375
,30,,,,14649.3359375
,31,,,,13478.97265625
7,95,,,13622.0048828125,
7,95,14077.2685546875,,,
8,99,,14938.943359375,,
,32,,,,11989.9091796875
,33,,,,14280.3994140625
,34,,,,14649.33203125
,35,,,,13478.96875
8,107,,,13622.0009765625,
8,107,14077.2607421875,,,
,36,,,,11989.90234375
,37,,,,14280.390625
,38,,,,14649.322265625
,39,,,,13478.962890625
9,119,,,13621.9931640625,
9,119,14077.2568359375,,,
,40,,,,11989.900390625
,41,,,,14280.388671875
,42,,,,14649.322265625
,43,,,,13478.9599609375
10,131,,,13621.9912109375,
10,131,14077.2529296875,,,
,44,,,,11989.896484375
,45,,,,14280.384765625
,46,,,,14649.3203125
,47,,,,13478.962890625
11,143,,,13621.98828125,
11,143,14077.2470703125,,,
12,149,,10758.431640625,,
,48,,,,11989.89453125
,49,,,,14280.3828125
,50,,,,14649.3173828125
,51,,,,13478.9619140625
12,155,,,13621.986328125,
12,155,14077.2392578125,,,
,52,,,,11989.8916015625
,53,,,,14280.376953125
,54,,,,14649.314453125
,55,,,,13478.9677734375
13,167,,,13621.9853515625,
13,167,14077.2373046875,,,
,56,,,,11989.88671875
,57,,,,14280.373046875
,58,,,,14649.3095703125
,59,,,,13478.9619140625
14,179,,,13621.9794921875,
14,179,14077.23046875,,,
,60,,,,11989.8818359375
,61,,,,14280.376953125
,62,,,,14649.31640625
,63,,,,13478.958984375
15,191,,,13621.98046875,
15,191,14077.2236328125,,,
16,199,,16952.80078125,,
,64,,,,11989.8642578125
,65,,,,14280.3623046875
,66,,,,14649.302734375
,67,,,,13478.9462890625
16,203,,,13621.966796875,
16,203,14077.22265625,,,
,68,,,,11989.8486328125
,69,,,,14280.341796875
,70,,,,14649.283203125
,71,,,,13478.9287109375
17,215,,,13621.9482421875,
17,215,14077.212890625,,,
,72,,,,11989.84375
,73,,,,14280.3349609375
,74,,,,14649.2763671875
,75,,,,13478.921875
18,227,,,13621.9423828125,
18,227,14077.2109375,,,
,76,,,,11989.8466796875
,77,,,,14280.3408203125
,78,,,,14649.2822265625
,79,,,,13478.927734375
19,239,,,13621.9453125,
19,239,14077.2080078125,,,
20,249,,13907.7587890625,,
,80,,,,11989.8349609375
,81,,,,14280.328125
,82,,,,14649.271484375
,83,,,,13478.9169921875
20,251,,,13621.935546875,
20,251,14077.201171875,,,
,84,,,,11989.830078125
,85,,,,14280.3212890625
,86,,,,14649.263671875
,87,,,,13478.9111328125
21,263,,,13621.9287109375,
21,263,14077.1962890625,,,
,88,,,,11989.8251953125
,89,,,,14280.314453125
,90,,,,14649.2578125
,91,,,,13478.9052734375
22,275,,,13621.9228515625,
22,275,14077.193359375,,,
,92,,,,11989.826171875
,93,,,,14280.314453125
,94,,,,14649.255859375
,95,,,,13478.90625
23,287,,,13621.9228515625,
23,287,14077.1884765625,,,
24,299,,17411.748046875,,
,96,,,,11989.8173828125
,97,,,,14280.310546875
,98,,,,14649.255859375
,99,,,,13478.90234375
24,299,,,13621.91796875,
24,299,14077.1865234375,,,
,100,,,,11989.814453125
,101,,,,14280.306640625
,102,,,,14649.248046875
,103,,,,13478.8974609375
25,311,,,13621.912109375,
25,311,14077.181640625,,,
,104,,,,11989.8154296875
,105,,,,14280.3017578125
,106,,,,14649.2421875
,107,,,,13478.89453125
26,323,,,13621.91015625,
26,323,14077.177734375,,,
,108,,,,11989.8095703125
,109,,,,14280.294921875
,110,,,,14649.236328125
,111,,,,13478.8876953125
27,335,,,13621.904296875,
27,335,14077.1728515625,,,
,112,,,,11989.8076171875
,113,,,,14280.2939453125
,114,,,,14649.234375
,115,,,,13478.88671875
28,347,,,13621.9013671875,
28,347,14077.169921875,,,
29,349,,11915.1611328125,,
,116,,,,11989.80859375
,117,,,,14280.294921875
,118,,,,14649.236328125
,119,,,,13478.8876953125
29,359,,,13621.90234375,
29,359,14077.1640625,,,
,120,,,,11989.806640625
,121,,,,14280.29296875
,122,,,,14649.234375
,123,,,,13478.8857421875
30,371,,,13621.9013671875,
30,371,14077.1630859375,,,
,124,,,,11989.798828125
,125,,,,14280.28515625
,126,,,,14649.228515625
,127,,,,13478.8798828125
31,383,,,13621.8935546875,
31,383,14077.1552734375,,,
,128,,,,11989.794921875
,129,,,,14280.279296875
